;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;410;421;371;406;542;537;502;419;460;472;462;441;5 443;2333
Brott_mot_formogenhet;1 076;852;1 119;1 109;1 274;1 453;1 763;1 604;1 225;1 291;1 045;725;14 536;6230
Brott_mot_allmanheten;27;15;33;30;25;30;24;22;29;51;26;28;340;146
Brott_mot_staten;47;57;60;50;53;65;92;66;62;82;70;78;782;335
Brott_mot_trafikbrottslagen;155;101;136;110;126;134;119;131;130;111;96;77;1 426;611
Brott_mot_narkotikastrafflagen;237;133;179;96;126;145;219;66;136;66;88;94;1 585;679
