;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;5 503;5 026;5 881;5 768;6 188;5 908;5 711;5 939;5 892;6 281;5 866;5 404;69 367;3289
Brott_mot_formogenhet;19 943;18 544;21 078;19 538;23 527;22 205;21 788;23 136;22 903;26 092;23 695;18 723;261 172;12382
Brott_mot_allmanheten;438;448;477;455;520;387;460;414;489;493;484;449;5 514;261
Brott_mot_staten;1 290;1 097;1 313;1 295;1 319;1 279;1 208;1 378;1 364;1 278;1 251;1 145;15 217;721
Brott_mot_trafikbrottslagen;1 672;1 315;1 581;1 612;1 660;1 727;1 348;1 530;1 556;1 616;1 445;1 276;18 338;869
Brott_mot_narkotikastrafflagen;3 090;2 065;2 381;2 169;2 229;2 155;1 460;1 779;2 282;2 389;1 907;1 582;25 488;1206
