;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;766;805;874;804;881;853;851;947;860;842;762;718;9 963;2304
Brott_mot_formogenhet;2 407;2 267;2 442;2 762;2 979;3 086;3 003;3 362;2 891;2 746;2 421;1 774;32 140;7432
Brott_mot_allmanheten;52;75;58;64;31;120;49;56;77;42;56;33;713;165
Brott_mot_staten;125;118;117;96;118;128;131;129;128;156;107;102;1 455;336
Brott_mot_trafikbrottslagen;200;161;235;173;217;177;168;222;249;270;189;132;2 393;553
Brott_mot_narkotikastrafflagen;298;321;315;287;293;267;244;287;385;443;360;275;3 775;873
