;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;710;734;716;659;745;648;704;690;658;659;693;598;8 214;2414
Brott_mot_formogenhet;1 643;1 574;1 951;1 998;2 239;2 095;2 822;2 500;2 297;2 446;1 958;1 405;24 928;7325
Brott_mot_allmanheten;47;52;35;35;43;51;43;43;32;49;40;42;512;150
Brott_mot_staten;90;64;86;97;83;93;98;90;69;82;79;101;1 032;303
Brott_mot_trafikbrottslagen;213;188;199;200;256;206;197;206;290;234;236;218;2 643;777
Brott_mot_narkotikastrafflagen;259;271;276;237;304;260;179;294;397;377;320;303;3 477;1022
