;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;551;470;543;497;601;615;594;606;566;578;630;503;6 754;2442
Brott_mot_formogenhet;1 379;1 225;1 346;1 432;1 520;1 742;1 761;1 925;1 485;1 573;1 456;1 043;17 887;6468
Brott_mot_allmanheten;52;65;33;31;32;28;26;40;29;47;25;22;430;155
Brott_mot_staten;58;61;85;75;51;92;72;87;69;73;68;84;875;316
Brott_mot_trafikbrottslagen;196;171;155;205;146;226;171;201;171;170;139;115;2 066;747
Brott_mot_narkotikastrafflagen;162;151;111;176;89;228;65;112;190;226;189;146;1 845;667
