;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;792;739;739;713;842;810;844;856;810;809;763;636;9 353;3418
Brott_mot_formogenhet;1 790;1 578;2 048;1 878;2 217;2 223;2 303;2 441;2 159;2 338;1 887;1 372;24 234;8856
Brott_mot_allmanheten;44;57;62;48;49;35;40;47;38;43;44;37;544;199
Brott_mot_staten;123;88;100;88;112;91;97;100;108;103;120;94;1 224;447
Brott_mot_trafikbrottslagen;181;189;198;176;198;166;126;168;168;172;151;171;2 064;754
Brott_mot_narkotikastrafflagen;276;251;248;315;253;183;168;240;231;292;239;248;2 944;1076
