;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;630;518;644;566;612;593;649;609;644;634;586;560;7 245;2140
Brott_mot_formogenhet;1 696;1 384;1 796;1 628;1 901;1 836;1 848;1 982;1 809;1 835;1 760;1 277;20 752;6130
Brott_mot_allmanheten;37;34;49;47;35;35;31;40;43;50;30;33;464;137
Brott_mot_staten;182;169;198;212;237;265;134;185;211;253;162;185;2 393;707
Brott_mot_trafikbrottslagen;91;102;127;69;85;70;64;73;97;102;85;61;1 026;813
Brott_mot_narkotikastrafflagen;198;244;237;258;212;238;112;194;243;273;246;235;2 690;795
