;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;709;580;743;669;724;816;721;636;693;1 006;679;627;8 603;3047
Brott_mot_formogenhet;1 667;1 533;1 769;1 646;1 894;2 127;1 907;2 339;2 370;2 067;1 963;1 378;22 660;8026
Brott_mot_allmanheten;43;59;46;37;34;43;32;37;46;48;31;29;485;172
Brott_mot_staten;84;74;74;76;83;99;86;67;114;106;82;90;1 035;367
Brott_mot_trafikbrottslagen;198;166;188;212;199;189;139;182;222;206;147;136;2 184;774
Brott_mot_narkotikastrafflagen;262;337;370;345;332;226;122;233;386;295;325;288;3 521;1247
