;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;379;376;391;436;423;457;447;492;472;442;430;407;5 152;1982
Brott_mot_formogenhet;809;720;952;947;1 186;1 118;1 320;1 277;1 317;1 264;985;714;12 609;4851
Brott_mot_allmanheten;19;18;19;16;31;22;27;20;28;18;20;31;269;103
Brott_mot_staten;51;49;61;82;52;66;63;89;67;63;74;64;781;300
Brott_mot_trafikbrottslagen;157;101;124;118;132;123;104;113;88;123;110;99;1 392;536
Brott_mot_narkotikastrafflagen;190;137;171;174;159;113;77;165;166;216;209;179;1 956;752
