;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;288;253;333;336;339;351;347;340;355;375;299;263;3 879;2094
Brott_mot_formogenhet;1 163;1 007;1 350;1 240;1 261;1 245;1 146;1 263;1 340;1 247;1 119;876;14 257;7695
Brott_mot_allmanheten;20;36;29;25;26;25;16;24;14;22;19;20;276;149
Brott_mot_staten;36;40;45;50;38;46;34;45;32;61;32;38;497;268
Brott_mot_trafikbrottslagen;97;88;101;97;98;90;57;80;83;68;83;64;1 006;543
Brott_mot_narkotikastrafflagen;104;66;77;94;65;65;44;56;118;86;83;36;894;483
