;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;484;451;557;511;587;652;573;578;582;546;554;473;6 548;2399
Brott_mot_formogenhet;1 135;1 062;1 361;1 456;1 736;1 661;2 002;1 831;1 760;1 657;1 545;1 040;18 246;6686
Brott_mot_allmanheten;35;29;32;26;27;24;28;35;34;29;25;29;353;129
Brott_mot_staten;35;62;71;53;59;58;67;60;66;93;71;71;766;281
Brott_mot_trafikbrottslagen;192;139;192;183;200;208;209;220;232;241;192;171;2 379;872
Brott_mot_narkotikastrafflagen;205;210;201;184;308;186;155;156;279;343;260;205;2 692;986
