;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;110;108;113;113;121;151;215;135;113;125;117;95;1 516;2647
Brott_mot_formogenhet;323;193;336;311;336;392;594;500;449;340;379;247;4 400;7682
Brott_mot_allmanheten;2;4;7;3;2;4;10;9;6;4;4;4;59;103
Brott_mot_staten;18;9;14;17;20;15;25;26;22;13;20;13;212;370
Brott_mot_trafikbrottslagen;19;19;29;16;29;23;40;24;24;21;21;30;295;515
Brott_mot_narkotikastrafflagen;477;134;96;44;28;30;131;27;60;30;28;70;1 155;2017
