;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;2 897;2 628;2 791;2 900;3 323;2 907;2 892;3 088;3 295;3 331;2 956;2 794;35 802;2846
Brott_mot_formogenhet;9 691;8 698;10 625;9 924;11 805;11 011;11 723;12 601;11 538;11 879;11 251;9 260;130 006;10334
Brott_mot_allmanheten;220;183;251;200;232;224;191;211;207;188;196;174;2 477;197
Brott_mot_staten;267;283;288;310;331;312;329;336;506;414;382;328;4 086;325
Brott_mot_trafikbrottslagen;814;724;778;877;889;903;799;821;921;910;867;717;10 020;796
Brott_mot_narkotikastrafflagen;1 454;1 021;1 010;1 524;1 015;817;1 077;1 894;1 496;924;1 044;913;14 189;1128
