;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;412;386;356;448;453;470;479;468;478;427;396;509;5 282;2166
Brott_mot_formogenhet;1 372;1 157;1 322;1 271;1 578;1 543;1 572;1 839;1 718;1 566;1 441;1 289;17 668;7245
Brott_mot_allmanheten;29;37;32;25;35;29;30;55;43;40;53;36;444;182
Brott_mot_staten;55;71;64;73;97;46;66;59;59;54;47;86;777;319
Brott_mot_trafikbrottslagen;180;140;191;172;271;208;186;260;240;213;225;190;2 476;1015
Brott_mot_narkotikastrafflagen;108;120;190;163;218;158;138;178;187;173;211;178;2 022;829
