;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;2 344;1 906;2 123;2 204;2 336;2 301;2 276;2 326;2 521;2 326;2 337;2 306;27 306;1781
Brott_mot_formogenhet;10 021;9 107;9 621;10 561;11 930;11 635;11 706;12 408;11 609;12 022;11 178;10 849;132 647;8651
Brott_mot_allmanheten;253;259;209;214;223;208;189;215;242;220;230;217;2 679;175
Brott_mot_staten;307;336;357;346;354;289;287;317;304;326;326;334;3 883;253
Brott_mot_trafikbrottslagen;959;820;994;960;1 117;1 130;989;1 089;1 088;1 144;1 045;900;12 235;798
Brott_mot_narkotikastrafflagen;694;892;848;895;1 005;711;593;720;894;969;970;812;10 003;652
