;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;272;280;308;340;415;386;378;404;373;367;367;375;4 265;1824
Brott_mot_formogenhet;944;803;864;1 139;1 249;1 665;1 533;1 583;1 451;1 435;1 343;1 179;15 188;6494
Brott_mot_allmanheten;29;42;28;26;43;46;38;25;22;26;25;33;383;164
Brott_mot_staten;38;32;43;45;48;31;44;46;57;35;44;49;512;219
Brott_mot_trafikbrottslagen;118;108;107;101;127;183;149;137;119;139;119;112;1 519;650
Brott_mot_narkotikastrafflagen;62;70;84;76;76;146;55;74;112;79;135;74;1 043;446
