;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;450;418;431;375;516;462;455;487;531;545;466;538;5 674;2057
Brott_mot_formogenhet;1 421;1 126;1 309;1 278;1 807;1 622;1 848;1 973;1 860;1 701;1 243;1 435;18 623;6752
Brott_mot_allmanheten;27;30;41;14;38;45;37;57;33;41;29;50;442;160
Brott_mot_staten;63;46;57;46;57;47;43;44;52;55;48;50;608;220
Brott_mot_trafikbrottslagen;172;109;177;171;208;226;137;189;222;188;112;149;2 060;747
Brott_mot_narkotikastrafflagen;116;164;141;113;119;116;102;119;181;172;171;112;1 626;590
