;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;216;240;186;218;258;220;270;227;224;238;239;243;2 779;1840
Brott_mot_formogenhet;587;562;572;683;870;985;1 044;990;947;1 003;793;937;9 973;6602
Brott_mot_allmanheten;14;27;17;17;19;19;21;14;10;14;13;24;209;138
Brott_mot_staten;16;28;21;31;17;18;17;24;26;23;20;17;258;171
Brott_mot_trafikbrottslagen;96;71;83;82;96;142;87;101;120;146;95;103;1 222;809
Brott_mot_narkotikastrafflagen;250;89;68;59;80;43;64;82;112;69;67;56;1 039;688
