;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;4 081;3 766;4 105;4 217;4 542;4 226;4 244;4 646;4 558;4 610;4 407;4 676;52 078;2735
Brott_mot_formogenhet;20 015;15 845;17 328;17 058;19 607;18 494;17 823;19 827;19 983;20 706;18 486;17 726;222 898;11707
Brott_mot_allmanheten;477;445;441;458;490;431;399;367;409;449;412;445;5 223;274
Brott_mot_staten;713;596;626;656;695;712;709;699;620;672;721;743;8 162;429
Brott_mot_trafikbrottslagen;1 665;1 568;1 738;1 801;1 866;1 911;1 550;1 850;2 153;2 312;1 824;1 717;21 955;1153
Brott_mot_narkotikastrafflagen;1 473;1 418;1 458;1 618;1 593;1 361;889;1 291;1 773;1 657;1 417;1 317;17 265;907
