;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;549;498;542;544;584;591;669;659;627;597;552;644;7 056;2696
Brott_mot_formogenhet;1 595;1 366;1 691;1 875;2 052;2 179;2 164;2 282;2 308;2 261;1 680;1 709;23 162;8850
Brott_mot_allmanheten;40;31;40;61;60;49;46;37;42;38;43;122;609;233
Brott_mot_staten;102;80;99;147;152;118;92;135;111;82;102;92;1 312;501
Brott_mot_trafikbrottslagen;192;161;196;189;245;224;224;167;238;257;208;215;2 516;961
Brott_mot_narkotikastrafflagen;143;145;165;155;168;143;144;111;257;289;247;278;2 245;858
