;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;404;387;382;412;438;534;536;490;523;489;505;531;5 631;1960
Brott_mot_formogenhet;1 500;1 310;1 414;1 711;1 897;2 116;2 303;2 057;2 166;2 090;1 956;1 900;22 420;7802
Brott_mot_allmanheten;29;41;30;39;45;30;45;33;51;47;47;42;479;167
Brott_mot_staten;45;53;58;52;52;48;63;64;52;52;44;73;656;228
Brott_mot_trafikbrottslagen;183;132;138;140;245;218;195;209;238;227;150;150;2 225;774
Brott_mot_narkotikastrafflagen;165;134;125;109;130;163;99;154;149;151;159;107;1 645;572
