;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;419;382;407;391;419;489;452;442;405;415;391;462;5 074;1840
Brott_mot_formogenhet;1 502;1 274;1 484;1 354;1 707;2 031;1 783;1 934;1 890;1 736;1 407;1 416;19 518;7079
Brott_mot_allmanheten;27;34;29;34;44;32;38;30;41;28;32;63;432;157
Brott_mot_staten;45;48;43;46;44;47;41;62;58;53;30;48;565;205
Brott_mot_trafikbrottslagen;177;97;166;140;185;171;167;195;178;162;119;123;1 880;682
Brott_mot_narkotikastrafflagen;105;74;133;145;113;130;79;122;138;104;106;107;1 356;492
