;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;440;406;486;506;495;488;473;514;500;484;594;503;5 889;1928
Brott_mot_formogenhet;1 513;1 305;1 440;1 588;2 118;1 794;1 774;2 145;2 217;2 157;1 667;1 727;21 445;7022
Brott_mot_allmanheten;39;51;43;35;99;31;41;37;42;36;43;45;542;177
Brott_mot_staten;65;52;72;54;57;65;54;55;62;61;86;73;756;248
Brott_mot_trafikbrottslagen;162;132;148;206;196;211;168;194;141;180;139;150;2 027;664
Brott_mot_narkotikastrafflagen;154;163;137;217;193;145;149;420;190;155;213;154;2 290;750
