;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;357;294;316;430;373;370;367;434;387;408;401;390;4 527;1656
Brott_mot_formogenhet;1 365;1 205;1 136;1 386;1 500;1 446;1 959;1 625;1 693;1 654;1 559;1 554;18 082;6614
Brott_mot_allmanheten;44;38;29;32;38;31;41;31;41;31;40;37;433;158
Brott_mot_staten;43;27;47;57;41;45;44;40;66;42;51;63;566;207
Brott_mot_trafikbrottslagen;264;206;193;235;227;265;272;249;266;290;254;209;2 930;1072
Brott_mot_narkotikastrafflagen;112;132;119;160;137;124;149;118;162;139;118;138;1 608;588
