;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;490;387;455;495;541;476;550;483;525;504;535;574;6 015;1818
Brott_mot_formogenhet;1 559;1 273;1 400;1 552;1 950;2 057;1 875;2 078;1 961;1 946;1 769;1 906;21 326;6446
Brott_mot_allmanheten;43;28;50;44;42;49;37;34;34;39;41;49;490;148
Brott_mot_staten;52;38;48;69;42;33;41;50;50;34;45;56;558;169
Brott_mot_trafikbrottslagen;162;159;150;143;172;206;153;192;189;212;164;152;2 054;621
Brott_mot_narkotikastrafflagen;61;87;97;70;112;107;83;96;103;109;109;109;1 143;345
