;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;476;440;495;582;619;561;573;722;668;632;531;644;6 943;2645
Brott_mot_formogenhet;1 511;1 320;1 424;1 684;1 961;1 809;1 916;2 087;1 996;2 127;1 941;2 113;21 889;8339
Brott_mot_allmanheten;45;47;35;53;63;46;35;56;52;49;43;55;579;221
Brott_mot_staten;64;68;73;65;79;51;61;89;78;65;65;100;858;327
Brott_mot_trafikbrottslagen;160;180;168;113;175;203;176;196;238;224;188;157;2 178;830
Brott_mot_narkotikastrafflagen;126;107;171;116;109;92;109;122;97;114;137;129;1 429;544
