;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;482;461;459;506;559;517;545;571;566;506;570;526;6 268;2283
Brott_mot_formogenhet;1 811;1 492;1 681;1 651;2 107;2 030;1 981;2 578;2 422;2 163;1 935;2 053;23 904;8706
Brott_mot_allmanheten;37;46;42;40;36;35;44;36;45;38;35;56;490;178
Brott_mot_staten;56;59;64;95;61;92;45;68;66;73;61;67;807;294
Brott_mot_trafikbrottslagen;192;160;179;190;219;217;179;165;252;190;158;173;2 274;828
Brott_mot_narkotikastrafflagen;233;206;257;309;209;238;188;159;253;300;206;182;2 740;998
