;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;223;168;228;152;206;245;252;208;202;176;242;206;2 508;1974
Brott_mot_formogenhet;691;580;640;601;777;744;828;873;904;770;560;728;8 696;6846
Brott_mot_allmanheten;9;10;12;9;27;26;16;16;16;16;12;11;180;142
Brott_mot_staten;25;30;18;19;30;24;46;27;21;24;28;24;316;249
Brott_mot_trafikbrottslagen;60;53;58;54;65;83;67;67;73;71;76;90;817;643
Brott_mot_narkotikastrafflagen;16;23;32;26;29;33;29;18;35;27;50;44;362;285
