;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;114;77;87;92;131;117;192;116;112;107;101;130;1 376;2398
Brott_mot_formogenhet;287;239;242;297;313;445;652;518;493;408;362;348;4 604;8022
Brott_mot_allmanheten;2;2;6;6;6;8;13;10;1;4;4;8;70;122
Brott_mot_staten;18;10;8;10;16;13;23;8;16;5;6;5;138;240
Brott_mot_trafikbrottslagen;28;29;23;33;20;38;39;62;45;37;26;29;409;713
Brott_mot_narkotikastrafflagen;25;19;28;42;30;67;29;27;24;59;42;49;441;768
