;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;457;401;513;488;551;527;462;504;477;494;440;473;5 787;2117
Brott_mot_formogenhet;1 259;1 063;1 223;1 415;1 657;1 645;1 760;1 785;1 776;1 832;1 356;1 090;17 861;6535
Brott_mot_allmanheten;28;22;39;43;45;42;23;21;33;34;58;28;416;152
Brott_mot_staten;55;50;55;62;57;59;48;51;52;59;37;39;624;228
Brott_mot_trafikbrottslagen;258;179;223;196;229;251;205;238;246;212;231;192;2 660;973
Brott_mot_narkotikastrafflagen;256;343;251;125;170;163;189;192;196;227;209;241;2 562;937
