;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;227;180;236;207;262;281;274;232;226;234;266;225;2 850;2248
Brott_mot_formogenhet;692;631;734;616;614;674;722;769;736;636;575;487;7 886;6220
Brott_mot_allmanheten;12;12;13;17;17;27;21;14;8;21;17;9;188;148
Brott_mot_staten;36;28;37;27;23;26;30;23;32;38;32;50;382;301
Brott_mot_trafikbrottslagen;93;79;96;119;82;95;81;65;92;145;96;83;1 126;888
Brott_mot_narkotikastrafflagen;78;72;74;83;48;43;60;46;69;47;58;69;747;589
