;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;547;554;691;613;627;604;658;581;642;639;573;549;7 278;2615
Brott_mot_formogenhet;1 648;1 490;1 603;2 096;2 041;2 264;2 165;2 864;2 262;2 094;1 845;1 521;23 893;8585
Brott_mot_allmanheten;31;34;43;72;44;46;27;30;46;57;31;46;507;182
Brott_mot_staten;60;72;95;57;72;63;70;67;72;72;61;60;821;295
Brott_mot_trafikbrottslagen;223;163;186;220;210;189;146;213;201;205;209;212;2 377;854
Brott_mot_narkotikastrafflagen;247;233;242;262;278;284;149;216;357;266;214;285;3 033;1090
