;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;469;442;536;611;570;557;596;587;515;625;541;526;6 575;2227
Brott_mot_formogenhet;1 498;1 215;1 690;1 866;1 911;2 237;2 186;2 158;1 983;1 890;1 765;1 641;22 040;7466
Brott_mot_allmanheten;37;45;41;73;34;46;43;39;32;47;23;39;499;169
Brott_mot_staten;50;62;49;72;73;80;86;81;70;87;58;89;857;290
Brott_mot_trafikbrottslagen;172;143;150;153;147;186;173;177;230;193;136;141;2 001;678
Brott_mot_narkotikastrafflagen;158;144;195;148;190;165;134;169;242;262;169;179;2 155;730
