;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;89;100;121;130;137;157;219;136;101;134;144;119;1 587;2779
Brott_mot_formogenhet;247;243;300;300;327;373;549;408;369;399;331;297;4 143;7254
Brott_mot_allmanheten;10;5;7;30;9;5;6;4;0;4;3;3;86;151
Brott_mot_staten;18;5;17;11;10;18;22;10;6;11;20;9;157;275
Brott_mot_trafikbrottslagen;27;17;19;28;23;32;46;35;33;39;23;37;359;629
Brott_mot_narkotikastrafflagen;18;59;49;18;45;30;97;9;37;39;45;25;471;825
