;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;358;402;433;374;513;503;501;385;491;459;407;434;5 260;2037
Brott_mot_formogenhet;894;929;946;1 063;1 402;1 429;1 357;1 432;1 572;1 330;1 346;999;14 699;5693
Brott_mot_allmanheten;16;23;23;19;32;25;26;26;30;38;35;14;307;119
Brott_mot_staten;46;58;53;44;77;81;66;49;58;67;44;64;707;274
Brott_mot_trafikbrottslagen;120;82;144;126;97;129;114;145;142;138;126;136;1 499;581
Brott_mot_narkotikastrafflagen;130;217;119;142;136;101;63;99;147;153;157;129;1 593;617
