;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;209;230;249;283;301;293;319;296;279;314;259;236;3 268;2144
Brott_mot_formogenhet;733;655;856;897;989;1 106;946;980;1 107;1 079;882;767;10 997;7215
Brott_mot_allmanheten;13;11;16;30;15;16;12;7;12;18;17;21;188;123
Brott_mot_staten;20;14;21;16;26;35;27;22;27;52;42;26;328;215
Brott_mot_trafikbrottslagen;112;95;94;107;94;96;86;107;119;138;113;115;1 276;837
Brott_mot_narkotikastrafflagen;72;68;60;71;106;95;39;51;67;692;76;58;1 455;955
