;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;2 313;2 352;2 784;2 607;2 844;2 639;2 449;2 741;2 862;2 946;2 838;2 662;32 037;2049
Brott_mot_formogenhet;10 271;9 544;11 515;11 881;12 112;12 542;14 320;13 612;14 267;12 723;12 080;13 014;147 881;9457
Brott_mot_allmanheten;249;271;249;317;253;298;189;176;240;278;226;241;2 987;191
Brott_mot_staten;299;278;319;303;358;313;295;293;336;369;354;298;3 815;244
Brott_mot_trafikbrottslagen;975;870;992;1 050;984;1 169;1 006;939;1 129;1 012;1 032;936;12 094;773
Brott_mot_narkotikastrafflagen;999;1 249;1 283;1 020;957;757;662;712;993;1 160;1 123;958;11 873;759
