;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;408;407;479;462;505;563;476;585;493;515;528;506;5 927;2377
Brott_mot_formogenhet;1 158;1 040;1 159;1 133;1 390;1 576;1 591;1 826;1 782;1 497;1 172;1 067;16 391;6574
Brott_mot_allmanheten;44;11;40;28;48;31;20;27;22;17;25;29;342;137
Brott_mot_staten;54;47;74;66;61;78;83;56;63;51;58;86;777;312
Brott_mot_trafikbrottslagen;226;141;155;192;184;195;179;178;187;200;182;182;2 201;883
Brott_mot_narkotikastrafflagen;224;278;151;149;184;161;130;164;206;281;179;201;2 308;926
