;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;485;466;600;590;559;520;549;603;527;581;543;531;6 554;2374
Brott_mot_formogenhet;1 090;1 303;1 556;1 415;1 822;1 690;1 781;1 933;1 962;1 792;1 643;1 418;19 405;7029
Brott_mot_allmanheten;43;29;32;32;48;40;32;34;64;38;35;27;454;164
Brott_mot_staten;48;57;78;57;51;45;62;51;56;64;65;46;680;246
Brott_mot_trafikbrottslagen;135;140;125;166;179;195;142;146;189;198;185;141;1 941;703
Brott_mot_narkotikastrafflagen;131;182;138;135;135;151;95;122;160;187;157;221;1 814;657
