;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;584;593;723;685;765;605;581;731;761;643;653;620;7 944;2411
Brott_mot_formogenhet;1 853;1 787;2 147;2 282;2 239;2 213;2 069;2 555;2 584;2 395;2 132;1 778;26 034;7900
Brott_mot_allmanheten;51;61;60;81;62;53;31;47;61;57;73;61;698;212
Brott_mot_staten;82;100;95;90;100;61;65;78;107;117;76;68;1 039;315
Brott_mot_trafikbrottslagen;166;166;206;210;190;238;195;170;197;175;191;151;2 255;684
Brott_mot_narkotikastrafflagen;300;348;364;272;230;246;245;536;220;245;257;193;3 456;1049
