;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;624;626;732;832;769;682;748;803;761;689;746;630;8 642;3221
Brott_mot_formogenhet;1 700;1 579;2 079;2 298;2 469;2 303;2 247;2 615;2 353;2 232;2 036;1 652;25 563;9528
Brott_mot_allmanheten;62;59;95;79;79;71;54;65;67;49;41;46;767;286
Brott_mot_staten;74;67;93;90;83;80;81;95;84;94;89;71;1 001;373
Brott_mot_trafikbrottslagen;160;170;156;223;207;209;154;196;181;202;168;176;2 202;821
Brott_mot_narkotikastrafflagen;185;147;115;150;156;127;112;142;176;186;181;158;1 835;684
