;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;301;140;180;156;194;96;112;100;74;97;73;89;1179;787
Brott_mot_formogenhet;1030;712;767;857;1069;1099;991;1027;974;917;928;793;11164;7449
Brott_mot_allmanheten;16;11;35;36;13;17;6;9;15;11;9;18;196;131
Brott_mot_staten;15;17;18;18;24;16;24;24;11;22;21;22;232;155
Brott_mot_trafikbrottslagen;93;64;52;66;68;301;73;89;111;76;65;71;1129;753
Brott_mot_narkotikastrafflagen;37;25;66;35;70;119;40;33;41;60;47;29;602;402
