;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;129;145;165;187;168;162;178;152;152;171;158;192;1959;1533
Brott_mot_formogenhet;732;659;677;733;825;730;848;1025;786;799;706;516;9036;7071
Brott_mot_allmanheten;15;17;27;7;16;10;8;10;22;26;14;21;193;151
Brott_mot_staten;22;20;28;10;21;22;29;20;23;38;19;24;276;216
Brott_mot_trafikbrottslagen;43;53;50;64;53;49;61;69;67;67;53;37;666;521
Brott_mot_narkotikastrafflagen;8;15;5;6;24;8;18;15;13;9;13;7;141;110
