;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;424;364;456;411;430;399;484;484;409;443;502;427;5 233;1912
Brott_mot_formogenhet;1 863;1 634;2 004;1 970;2 524;2 882;2 552;2 957;2 449;2 583;2 446;2 006;27 870;10184
Brott_mot_allmanheten;25;30;48;77;44;38;34;39;39;46;34;39;493;180
Brott_mot_staten;61;44;64;46;47;48;40;63;43;70;54;53;633;231
Brott_mot_trafikbrottslagen;144;132;190;161;188;225;152;189;229;224;196;192;2 222;812
Brott_mot_narkotikastrafflagen;131;129;162;163;111;101;73;104;181;192;186;111;1 644;601
