;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;496;441;525;419;491;439;428;432;532;523;459;468;5 653;2178
Brott_mot_formogenhet;1 898;1 890;2 115;2 160;2 386;2 359;2 408;2 402;2 710;2 219;2 095;1 879;26 521;10219
Brott_mot_allmanheten;35;26;52;56;37;52;38;37;36;51;38;43;501;193
Brott_mot_staten;85;78;87;67;63;58;74;82;80;108;89;80;951;366
Brott_mot_trafikbrottslagen;201;232;289;258;333;331;277;185;296;279;254;234;3 169;1221
Brott_mot_narkotikastrafflagen;78;138;127;129;120;84;100;87;115;143;160;126;1 407;542
