;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;217;175;268;205;271;229;181;282;243;260;222;220;2773;1565
Brott_mot_formogenhet;1083;885;1312;1313;1350;1570;1304;1332;1374;1495;1310;1304;15632;8821
Brott_mot_allmanheten;15;21;26;27;23;21;12;14;13;19;21;18;230;130
Brott_mot_staten;25;32;28;28;26;32;28;41;55;72;59;47;473;267
Brott_mot_trafikbrottslagen;116;96;100;90;82;141;89;89;95;108;100;89;1195;674
Brott_mot_narkotikastrafflagen;41;31;54;33;47;23;26;29;40;24;16;21;385;217
