;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;532;575;699;522;639;638;622;646;676;642;680;592;7 463;1802
Brott_mot_formogenhet;2 962;2 271;2 826;3 107;3 357;3 350;3 005;3 303;3 298;3 480;3 183;2 653;36 795;8884
Brott_mot_allmanheten;36;52;78;64;57;72;55;33;65;54;61;56;683;165
Brott_mot_staten;84;88;92;94;101;93;96;85;137;77;124;101;1 172;283
Brott_mot_trafikbrottslagen;264;218;239;236;244;270;263;224;325;199;180;188;2 850;688
Brott_mot_narkotikastrafflagen;199;197;158;202;181;167;142;171;166;186;170;141;2 080;502
