;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;1819;1511;1810;1771;1870;1859;1954;1923;1956;1970;1944;1789;22176;1930
Brott_mot_formogenhet;9928;8559;10635;9934;11658;11095;11637;11096;10339;11127;10209;10026;126243;10988
Brott_mot_allmanheten;235;179;211;270;226;247;213;227;190;237;237;200;2672;233
Brott_mot_staten;249;228;274;248;243;216;262;264;224;259;273;242;2982;260
Brott_mot_trafikbrottslagen;937;782;817;847;920;1026;854;831;1017;985;842;902;10760;937
Brott_mot_narkotikastrafflagen;441;411;485;431;388;364;304;337;471;433;552;376;4993;435
