;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;304;245;340;304;369;318;345;319;263;315;290;264;3 676;1438
Brott_mot_formogenhet;965;864;1 183;1 189;1 333;1 379;1 313;1 555;1 481;1 486;1 226;1 066;15 040;5884
Brott_mot_allmanheten;25;22;11;28;26;39;22;26;22;22;24;18;285;112
Brott_mot_staten;49;60;63;41;54;66;74;53;53;54;52;73;692;271
Brott_mot_trafikbrottslagen;109;86;129;100;73;116;103;112;132;143;137;100;1 340;524
Brott_mot_narkotikastrafflagen;83;83;68;95;105;79;74;73;121;111;108;81;1 081;423
