;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December;Hela_aret;Antal_brott_per_100000_av_medelfolkmangden
Brott_mot_person;314;299;315;318;351;417;426;499;470;449;420;336;4614;1648
Brott_mot_formogenhet;1774;1386;2085;1917;2132;2530;2662;2443;2416;2256;2000;1877;25478;9101
Brott_mot_allmanheten;29;21;47;146;43;31;43;19;45;33;36;35;528;189
Brott_mot_staten;39;36;39;40;40;42;56;51;32;46;44;46;511;183
Brott_mot_trafikbrottslagen;147;152;160;133;140;163;137;160;222;190;142;143;1889;675
Brott_mot_narkotikastrafflagen;81;82;78;59;94;69;50;119;74;96;67;86;955;341
